Supplied Name	guid	scientificName	family	kingdom	family_1	status	statusSource	year
Uebelmannia pectinifera pectinifera Buining	368520	Uebelmannia pectinifera subsp. pectinifera	Cactaceae		Cactaceae	EN	Em Perigo	2008
Mikania neurocaula DC.	325625	Mikania neurocaula	Asteraceae		Asteraceae	EN	Em Perigo	2008
Pilosocereus multicostatus F.Ritter	308277	Pilosocereus multicostatus	Cactaceae		Cactaceae	VU	Vulnerável	2008
Lobelia hilaireana (Kanitz) E.Wimm.	329393	Lobelia hilaireana	Campanulaceae		Campanulaceae	VU	Vulnerável	2008
Lippia florida Cham.	351062	Lippia florida	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Sporophila ruficollis Cabanis, 1851	202739	Sporophila ruficollis	Thraupidae		Sporophila ruficollis	VU	Vulnerável	2010
Anthurium santaritensis Nadruz & Croat						CR	Criticamente em Perigo	2008
Anthaenantiopsis fiebrigii Parodi	348509	Anthaenantiopsis fiebrigii	Poaceae		Poaceae	CR	Criticamente em Perigo	2008
Myrmotherula minor Salvadori, 1864	262236	Myrmotherula minor	Thamnophilidae		Myrmotherula minor	CR	Criticamente em Perigo	2010
Stevia hilarii B.L.Rob.	313380	Stevia hilarii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Eriocaulon melanolepis Silveira	316443	Eriocaulon melanolepis	Eriocaulaceae		Eriocaulaceae	EX	EX	2008
Zygophlebia longipilosa (C. Chr.) L.E. Bishop	349430	Zygophlebia longipilosa	Polypodiaceae		Polypodiaceae	CR	Criticamente em Perigo	2008
Eriocaulon setaceum L.	331994	Eriocaulon setaceum	Eriocaulaceae		Eriocaulaceae	CR	Criticamente em Perigo	2008
Eriosorus sellowianus (Mett. ex Kuhn) Copeland						EN	Em Perigo	2008
Hyptis alpestris A.St.-Hil. ex Benth.	320512	Hyptis alpestris	Lamiaceae		Lamiaceae	VU	Vulnerável	2008
Megasoma gyas rumbucheri Fischer, 1968	241889	Megasoma (Megasoma) gyas rumbucheri	Melolonthidae		Megasoma (Megasoma) gyas rumbucheri	EN	Em Perigo	2010
Richterago lanata Roque	308051	Richterago lanata	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
Paepalanthus dasynema Ruhland	316853	Paepalanthus dasynema	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Cambessedesia salviifolia (Cham.) A. B. Martins	321954	Cambessedesia salviifolia	Melastomataceae		Melastomataceae	VU	Vulnerável	2008
Griffinia itambensis Ravenna	369729	Griffinia itambensis	Amaryllidaceae		Amaryllidaceae	CR	Criticamente em Perigo	2008
Orthophytum lanuginosum Leme & Paula	328358	Orthophytum lanuginosum	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Carterodon sulcidens (Lund, 1841)	152700	Carterodon sulcidens	Echimyidae		Carterodon sulcidens	EN	Em Perigo	2010
Lychnophora sellowii Sch. Bip.	312959	Lychnophora sellowii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Stephaniella paraphyllina J.B. Jack	363734	Stephaniella paraphyllina	Gymnomitriaceae		Gymnomitriaceae	VU	Vulnerável	2008
Acianthera malachantha (Rchb. f.) Pridgeon & M. W. Chase	342293	Acianthera malachantha	Orchidaceae		Orchidaceae	VU	Vulnerável	2008
Jacquiniella globosa (Jacq.) Schltr.	344476	Jacquiniella globosa	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Paepalanthus crinitus Tissot-Squalli	357032	Paepalanthus crinitus	Eriocaulaceae		Eriocaulaceae	EN	Em Perigo	2008
Pilocarpus trachylophus Holmes	366394	Pilocarpus trachylophus	Rutaceae		Rutaceae	VU	Vulnerável	2008
Huperzia itambensis B.Øllg. & P.G.Windisch	348282	Huperzia itambensis	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Jacquemontia hallieriana Ooststr.	287736	Jacquemontia hallieriana	Convolvulaceae		Convolvulaceae	EN	Em Perigo	2008
Maranta bracteosa Peters.	292561	Maranta bracteosa	Marantaceae		Marantaceae	CR	Criticamente em Perigo	2008
Chaptalia martii (Baker) Zardini	312020	Chaptalia martii	Asteraceae		Asteraceae	EN	Em Perigo	2008
Eragrostis sclerophylla Trin.	348636	Eragrostis sclerophylla	Poaceae		Poaceae	EN	Em Perigo	2008
Vriesea nanuzae Leme	314147	Vriesea nanuzae	Bromeliaceae		Bromeliaceae	CR	Criticamente em Perigo	2008
Sporophila falcirostris (Temminck, 1820)	202499	Sporophila falcirostris	Thraupidae		Sporophila falcirostris	EN	Em Perigo	2010
Notodiaptomus dubius Dussart & Matsumura-Tundisi, 1986						VU	Vulnerável	2010
Jacaranda elliptica (Vellozo) Martius ex A. P. De Candolle						VU	Vulnerável	2008
Lycopodiella benjaminiana P.G.Windisch	348436	Lycopodiella benjaminiana	Lycopodiaceae		Lycopodiaceae	CR	Criticamente em Perigo	2008
Tontelea lanceolata (Miers) A.C.Sm.	336164	Tontelea lanceolata	Celastraceae		Celastraceae	VU	Vulnerável	2008
Stachytarpheta spathulata Moldenke	369102	Stachytarpheta spathulata	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Quesnelia kautskyi C.M.Vieira	354260	Quesnelia kautskyi	Bromeliaceae		Bromeliaceae	VU	Vulnerável	2008
Pereskia aureiflora F.Ritter	368093	Pereskia aureiflora	Cactaceae		Cactaceae	VU	Vulnerável	2008
Lippia eupatorium Schauer	351054	Lippia eupatorium	Verbenaceae		Verbenaceae	CR	Criticamente em Perigo	2008
Chamaecrista ulmea H.S.Irwin & Barneby	315022	Chamaecrista ulmea	Fabaceae		Fabaceae	VU	Vulnerável	2008
Castoraeschna margarethae Jurzitza, 1979	244504	Castoraeschna margarethae	Aeshnidae		Castoraeschna margarethae	EN	Em Perigo	2010
Griffinia hyacinthina Ker Gawl	369721	Griffinia hyacinthina	Amaryllidaceae		Amaryllidaceae	VU	Vulnerável	2008
Penelope ochrogaster Pelzeln, 1870	159663	Penelope ochrogaster	Cracidae		Penelope ochrogaster	CR	Criticamente em Perigo	2010
Paspalum brachytrichum Hack.	277453	Paspalum brachytrichum	Poaceae		Poaceae	CR	Criticamente em Perigo	2008
Tetracera empedoclea Gilg.	288565	Tetracera empedoclea	Dilleniaceae		Dilleniaceae	VU	Vulnerável	2008
Hagenbachia brasiliensis Nees & Mart.	283820	Hagenbachia brasiliensis	Asparagaceae		Asparagaceae	VU	Vulnerável	2008
Eremanthus seidelii MacLeish & Schumacher	312370	Eremanthus seidelii	Asteraceae		Asteraceae	VU	Vulnerável	2008
Harttia novalimensis Oyakawa, 1993	203576	Harttia novalimensis	Loricariidae		Harttia novalimensis	VU	Vulnerável	2010
Harpyhaliaetus coronatus (Vieillot, 1817)						EN	Em Perigo	2010
Encyclia duveenii Pabst	347571	Encyclia duveenii	Orchidaceae		Orchidaceae	CR	Criticamente em Perigo	2008
Richterago polyphylla (Baker) Ferreyra	313215	Richterago polyphylla	Asteraceae		Asteraceae	CR	Criticamente em Perigo	2008
