"Supplied Name","guid","scientificName","family","kingdom","status","sourceStatus","year","family"
"Lycalopex vetulus(Lund, 1842)","126593","Lycalopex vetulus","Canidae",,"DD","Dados Insuficientes","2010","Canidae"
"Ozotoceros bezoarticus(Linnaeus, 1758)","200018","Ozotoceros bezoarticus","Cervidae",,"CR","Criticamente em Perigo","2010","Cervidae"
"Didelphis aurita(Wied-Neuwied, 1826)","241514","Didelphis aurita","Didelphidae",,"LC","Pouco Preocupante","2010","Didelphidae"
"Monodelphis sorex(Hensel, 1872)","114312","Monodelphis sorex","Didelphidae",,"NE","Não Avaliado","2010","Didelphidae"
"Nasua nasua(Linnaeus, 1766)","235871","Nasua nasua","Procyonidae",,"LC","Pouco Preocupante","2010","Procyonidae"
"Holochilus brasiliensis(Desmarest, 1819)","188584","Holochilus brasiliensis","Cricetidae",,"LC","Pouco Preocupante","2010","Cricetidae"
"Wilfredomys oenax(Thomas, 1928)","251609","Wilfredomys oenax","Cricetidae",,"CR","Criticamente em Perigo","2010","Cricetidae"
"Blastocerus dichotomus(Illiger, 1815)","230886","Blastocerus dichotomus","Cervidae",,"CR","Criticamente em Perigo","2010","Cervidae"
"Trinomys iheringi(Thomas, 1911)","152696","Trinomys iheringi","Echimyidae",,"DD","Dados Insuficientes","2010","Echimyidae"
"Sturnira tildae De la Torre, 1959",,"Sturnira tildae",,,"VU","Vulnerável","2010",
"Eptesicus brasiliensis(Desmarest, 1819)","182562","Eptesicus brasiliensis","Vespertilionidae",,"LC","Pouco Preocupante","2010","Vespertilionidae"
"Tamandua tetradactyla(Linnaeus, 1758)","127148","Tamandua tetradactyla","Myrmecophagidae",,"LC","Pouco Preocupante","2010","Myrmecophagidae"
"Otaria flavescens(Shaw, 1800)","127119","Otaria flavescens","Otariidae",,"LC","Pouco Preocupante","2010","Otariidae"
"Artibeus obscurus Schinz, 1821",,"Artibeus obscurus",,,"LC","Pouco Preocupante","2010",
"Tadarida brasiliensis(I. Geoffroy, 1824)","153701","Tadarida brasiliensis","Molossidae",,"LC","Pouco Preocupante","2010","Molossidae"
"Tursiops truncatus(Montagu, 1821)","173932","Tursiops truncatus","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Sotalia guianensis(Van Béneden, 1864)","236599","Sotalia guianensis","Delphinidae",,"VU","Vulnerável","2010","Delphinidae"
"Anoura geoffroyi Gray, 1838",,"Anoura geoffroyi",,,"LC","Pouco Preocupante","2010",
"Pontoporia.blainvillei (Gervais & D’Orbigny, 1844)",,"Pontoporia blainvillei",,,"EN","Em Perigo","2010",
"Leontopithecus caissara Lorini & Persson, 1990",,"Leontopithecus caissara",,,"EN","Em Perigo","2010",
"Lasiurus ega(Gervais, 1856)","118599","Lasiurus (Dasypterus) ega","Vespertilionidae",,"DD","Dados Insuficientes","2010","Vespertilionidae"
"Stenella longirostris(Gray, 1828)","173922","Stenella longirostris","Delphinidae",,"DD#","Dados Insuficientes","2010","Delphinidae"
"Thyroptera tricolorSpix, 1823",,,,,"DD","Dados Insuficientes","2010",
"Oxymycterus delatorThomas, 1903",,,,,"DD","Dados Insuficientes","2010",
"Dyckia hatschbachii","327638","Dyckia hatschbachii","Bromeliaceae",,"EN","Em Perigo","2008","Bromeliaceae"
"Casearia paranaensis","280489","Casearia paranaensis","Salicaceae",,"R","Rara","2008","Salicaceae"
"Vriessea mulleri","329012","Vriesea muelleri","Bromeliaceae",,"R","Rara","2008","Bromeliaceae"
"Dyckia distachya","327625","Dyckia distachya","Bromeliaceae",,"EN","Em Perigo","2008","Bromeliaceae"
"Myrcia tenuivenosa","341471","Myrcia tenuivenosa","Myrtaceae",,"V","Vulnerável","2008","Myrtaceae"
"Ocotea porosa","334757","Ocotea porosa","Lauraceae",,"V","Vulnerável","2008","Lauraceae"
"Vriessea pinotti","329066","Vriesea pinottii","Bromeliaceae",,"EN","Em Perigo","2008","Bromeliaceae"
"Dorstenia tenuis","339641","Dorstenia tenuis","Moraceae",,"V","Vulnerável","2008","Moraceae"
"Araucaria angustifolia","353101","Araucaria angustifolia","Araucariaceae",,"V","Vulnerável","2008","Araucariaceae"
"Balfourodendron riedelianum","365024","Balfourodendron riedelianum","Rutaceae",,"R","Rara","2008","Rutaceae"
"Aspidosperma australis",,"Aspidosperma australis",,,"R","Rara","2008",
"Euxylophora paraensis","365598","Euxylophora paraensis","Rutaceae",,"V","Vulnerável","2008","Rutaceae"
"Ocotea catharinensis","334675","Ocotea catharinensis","Lauraceae",,"V","Vulnerável","2008","Lauraceae"
"Dicksonia sellowiana","299127","Dicksonia sellowiana","Dicksoniaceae",,"EN","Em Perigo","2008","Dicksoniaceae"
"Aspidosperma polyneuron","369993","Aspidosperma polyneuron","Apocynaceae",,"R","Rara","2008","Apocynaceae"
"Vriessea brusquensis","328786","Vriesea brusquensis","Bromeliaceae",,"R","Rara","2008","Bromeliaceae"
"Machaerium paraguariense","319593","Machaerium paraguariense","Fabaceae",,"R","Rara","2008","Fabaceae"
"Aspidosperma cylindrocarpon","369980","Aspidosperma cylindrocarpon","Apocynaceae",,"R","Rara","2008","Apocynaceae"
"Ocotea odorifera","334751","Ocotea odorifera","Lauraceae",,"EN","Em Perigo","2008","Lauraceae"
"Myrocarpus frondosus","288153","Myrocarpus frondosus","Fabaceae",,"R","Rara","2008","Fabaceae"
"Aspidosperma ramiflorum","370000","Aspidosperma ramiflorum","Apocynaceae",,"R","Rara","2008","Apocynaceae"
