"Supplied Name","guid","scientificName","family","kingdom","vernacular name","status","statusSource"
"Piriqueta flammea (Suess.) Arbo","297328","Piriqueta flammea","Turneraceae",,"Piriqueta flammea","CR","Criticamente em Perigo"
"Brycon devillei (Castelnau, 1855)","246716","Brycon devillei","Bryconidae","Animalia","Piabanha","EN","Em Perigo"
"Marlierea verticillaris O.Berg","341027","Marlierea verticillaris","Myrtaceae",,"Marlierea verticillaris","VU","Vulnerável"
"Eleoscytalopus psychopompus (Teixeira & Carnevalli, 1989)","213195","Eleoscytalopus psychopompus","Rhinocryptidae","Animalia","Macuquinho-baiano","EN","Em Perigo"
"Procellosaurinus erythrocercus Rodrigues, 1991","141851","Procellosaurinus erythrocercus","Gymnophthalmidae",,,"VU","Vulnerável"
"Tillandsia heubergeri Ehlers","328617","Tillandsia heubergeri","Bromeliaceae",,"Tillandsia heubergeri","VU","Vulnerável"
"Ocotea ramosissima L.C.S. Assis e Mello-Silva","387464","Ocotea ramosissima","Lauraceae",,"Ocotea ramosissima","VU","Vulnerável"
"Vellozia religiosa Mello-Silva & D.Sasaki","359682","Vellozia religiosa","Velloziaceae",,"Vellozia religiosa","EN","Em Perigo"
"Scherya bahiensis R.M.King & H.Rob.","285790","Scherya bahiensis","Asteraceae",,"Scherya bahiensis","CR","Criticamente em Perigo"
"Agrianthus myrtoides Mattf.","284750","Agrianthus myrtoides","Asteraceae",,"Agrianthus myrtoides","EN","Em Perigo"
"Pavonia almasana Ulbr.","292456","Pavonia almasana","Malvaceae",,"Pavonia almasana","EN","Em Perigo"
"Agrianthus pungens Mattf.","284753","Agrianthus pungens","Asteraceae",,"Agrianthus pungens","EN","Em Perigo"
"Kalyptodoras bahiensis Higuchi, Britski & Garavello 1990","244761","Kalyptodoras bahiensis","Doradidae",,"Peracuca","EN","Em Perigo"
"Orthophytum mucugense Wand.& Conc.","308258","Orthophytum mucugense","Bromeliaceae",,"Orthophytum mucugense","VU","Vulnerável"
"Dryadosaura nordestina Rodrigues, Freire, Pellegrino & Sites Jr, 2005","173336","Dryadosaura nordestina","Gymnophthalmidae",,"Briba-cabeçuda","VU","Vulnerável"
"Pavonia cauliflora (Nees) Fryxell ex G.L.Esteves","336650","Pavonia cauliflora","Malvaceae",,"Pavonia cauliflora","CR","Criticamente em Perigo"
"Pavonia cracens Fryxell & G.L.Esteves","336662","Pavonia cracens","Malvaceae",,"Pavonia cracens","CR","Criticamente em Perigo"
"Notobachia ablephara Rodrigues, 1984","204189","Nothobachia ablephara","Gymnophthalmidae",,,"VU","Vulnerável"
"Lepidocolaptes wagleri (Spix, 1824)","174000","Lepidocolaptes wagleri","Dendrocolaptidae","Animalia","Arapaçu-de-wagler","EN","Em Perigo"
"Neomarica floscella A.Gil & M.C.E.Amaral","380176","Neomarica floscella","Iridaceae",,"Neomarica floscella","EN","Em Perigo"
"Canistrum fosterianum L.B.Sm.","327385","Canistrum fosterianum","Bromeliaceae",,"Canistrum fosterianum","CR","Criticamente em Perigo"
"Lymania marantoides (L.B.Sm.) R.W.Read","327849","Lymania marantoides","Bromeliaceae",,"Lymania marantoides","EN","Em Perigo"
"Stylotrichium rotundifolium Mattf.","285883","Stylotrichium rotundifolium","Asteraceae",,"Stylotrichium rotundifolium","EN","Em Perigo"
"Hasemania piatan Zanata & Serra, 2010",,,,,,"EN","Em Perigo"
"Chamaecrista sincorana (Harms) H.S.Irwin & Barneby","314970","Chamaecrista sincorana","Fabaceae",,"Chamaecrista sincorana","VU","Vulnerável"
"Microlicia amblysepala Ule","292816","Microlicia amblysepala","Melastomataceae",,"Microlicia amblysepala","VU","Vulnerável"
"Ayenia noblickii Cristóbal",,,,,,"CR","Criticamente em Perigo"
"Fevillea bahiensis G.Rob. & Wunderlin","332008","Fevillea bahiensis","Cucurbitaceae",,"Fevillea bahiensis","EN","Em Perigo"
"Myrcia felisbertii (DC.) O.Berg","341216","Myrcia felisbertii","Myrtaceae",,"Myrcia felisbertii","EN","Em Perigo"
"Tinamus solitarius (Vieillot, 1819)","265270","Tinamus solitarius","Tinamidae","Animalia","Macuco","EN","Em Perigo"
"Aechmea farinosa (Regel) L.B.Sm.","326829","Aechmea farinosa","Bromeliaceae",,"Aechmea farinosa","VU","Vulnerável"
"Colibri delphinae (Lesson, 1839)","113880","Colibri delphinae","Trochilidae","Animalia","Beija-flor-marrom","CR","Criticamente em Perigo"
"Hieracium stannardii D.J.N.Hind","285305","Hieracium stannardii","Asteraceae",,"Hieracium stannardii","VU","Vulnerável"
"Turnera uleana Urb.","297484","Turnera uleana","Turneraceae",,"Turnera uleana","EN","Em Perigo"
"Ipomoea serrana Sim-Bianch. & L.V.Vasconcelos","354126","Ipomoea serrana","Convolvulaceae",,"Ipomoea serrana","EN","Em Perigo"
"Carcharhinus perezi (Poey, 1876)","222970","Carcharhinus perezii","Carcharhinidae","Animalia","Tubarão-dos-recifes","VU","Vulnerável"
"Moldenhawera luschnathiana Yakovlev","325798","Moldenhawera luschnathiana","Fabaceae",,"Moldenhawera luschnathiana","VU","Vulnerável"
"Atractantha cardinalis Judziewicz","276071","Atractantha cardinalis","Poaceae",,"Atractantha cardinalis","VU","Vulnerável"
