"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Tapirus terrestris","256113","Tapirus terrestris","Tapiriidae",,"Tapiriidae","EN","Em Perigo","2011"
"Notharchus swainsoni","246617","Notharchus swainsoni","Bucconidae","Animalia","Bucconidae","VU","Vulnerável","2011"
"Cardisoma guanhumi","232259","Cardisoma guanhumi","Gecarcinidae",,"Gecarcinidae","VU","Vulnerável","2011"
"Plagiobrissus grandis","215656","Plagiobrissus grandis","Brissidae",,"Brissidae","VU","Vulnerável","2011"
"Cistothorus platensis","210091","Cistothorus platensis","Troglodytidae","Animalia","Troglodytidae","CR","Criticamente em perigo","2011"
"Cnemidophorus vacariensis",,,,,,"EN","Em Perigo","2011"
"Ceratophrys aurita","225083","Ceratophrys aurita","Ceratophryidae",,"Ceratophryidae","EN","Em Perigo","2011"
"Parelbela polyzona","113313","Parelbella polyzona","Hesperiidae",,"Hesperiidae","CR","Criticamente em perigo","2011"
"Hippocampus erectus","160435","Hippocampus erectus","Syngnathidae",,"Syngnathidae","VU","Vulnerável","2011"
"Echinaster (Othilia) brasiliensis","246754","Echinaster (Othilia) brasiliensis","Echinasteridae",,"Echinasteridae","VU","Vulnerável","2011"
"Cinclodes pabsti","263205","Cinclodes pabsti","Furnariidae",,"Furnariidae","VU","Vulnerável","2011"
"Alouatta caraya","200494","Alouatta caraya","Atelidae",,"Atelidae","CR","Criticamente em perigo","2011"
"Dermochelys coriacea","268299","Dermochelys coriacea","Dermochelyidae",,"Dermochelyidae","CR","Criticamente em perigo","2011"
"Sporophila angolensis","264619","Sporophila angolensis","Thraupidae","Animalia","Thraupidae","CR","Criticamente em perigo","2011"
"Eudocimus ruber","138966","Eudocimus ruber","Threskiornithidae",,"Threskiornithidae","CR","Criticamente em perigo","2011"
"Xanthopsar flavus","183599","Xanthopsar flavus","Icteridae",,"Icteridae","CR","Criticamente em perigo","2011"
"Tenedos minor","154203","Tenedos minor","Zodariidae",,"Zodariidae","VU","Vulnerável","2011"
"Narope guilhermei","199590","Narope guilhermei","Nymphalidae",,"Nymphalidae","CR","Criticamente em perigo","2011"
"Steindachneridion scriptum","237653","Steindachneridion scriptum","Pimelodidae",,"Pimelodidae","EN","Em Perigo","2011"
"Doxocopa laure laurona","231976","Doxocopa laure laurona","Nymphalidae",,"Nymphalidae","CR","Criticamente em perigo","2011"
"Hyphessobrycon taurocephalus","202407","Hyphessobrycon taurocephalus","Characidae",,"Characidae","CR","Criticamente em perigo","2011"
