"Supplied Name","guid","scientificName","family","kingdom","family","status","statusSource","year"
"Nidularium corallinum (Leme) Leme","328213","Nidularium corallinum","Bromeliaceae",,"Bromeliaceae","EN","Em Perigo","2016"
"Fernseea bocainensis Pereira & Coutinho","327727","Fernseea bocainensis","Bromeliaceae",,"Bromeliaceae","CR","Criticamente em Perigo","2016"
"Asterostigma lombardii E.G.Gonç.","324412","Asterostigma lombardii","Araceae",,"Araceae","VU","Vulnerável","2016"
"Ceradenia glaziovii (Baker) Labiak","348766","Ceradenia glaziovii","Polypodiaceae",,"Polypodiaceae","EN","Em Perigo","2016"
"Aechmea apocalyptica Reitz","326692","Aechmea apocalyptica","Bromeliaceae",,"Bromeliaceae","EX","Extinta","2016"
"Nematanthus mattosianus (Handro) H.E.Moore","332995","Nematanthus mattosianus","Gesneriaceae",,"Gesneriaceae","VU","Vulnerável","2016"
"Siphoneugena reitzii D.Legrand","341889","Siphoneugena reitzii","Myrtaceae",,"Myrtaceae","VU","Vulnerável","2016"
"Malaxis cogniauxiana (Schltr.) Pabst","363206","Malaxis cogniauxiana","Orchidaceae",,"Orchidaceae","EX","Extinta","2016"
"Scleria balansae Maury ex Micheli","356464","Scleria balansae","Cyperaceae",,"Cyperaceae","VU","Vulnerável","2016"
"Leandra paulina DC.","338019","Leandra paulina","Melastomataceae",,"Melastomataceae","VU","Vulnerável","2016"
"Cyrtopodium dusenii Schltr.","347509","Cyrtopodium dusenii","Orchidaceae",,"Orchidaceae","VU","Vulnerável","2016"
"Paullinia racemosa Wawra","296593","Paullinia racemosa","Sapindaceae",,"Sapindaceae","VU","Vulnerável","2016"
"Chomelia modesta (Standl.) Steyerm.","278760","Chomelia modesta","Rubiaceae",,"Rubiaceae","EX","Extinta","2016"
