"family";"scientificName";"statusSource";"status";"list";"dispLegal"
"Heptapteridae";"Pimelodella rudolphi";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Engraulidae";"Anchoviella lepidentostole";"Quase Ameaçada";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Cricetidae";"Phaenomys ferrugineus";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Momotidae";"Momotus momota";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Paralichthyidae";"Cyclopsetta chittendeni";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Melolonthidae";"Antodon goryi";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Loricariidae";"Pseudotocinclus parahybae";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Aeglidae";"Aegla franca";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Scombridae";"Scomber japonicus";"Dados Insuficientes";"DD";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
"Columbidae";"Geotrygon violacea";"Em perigo";"NT";"Lista Flora Ameacada Sao Paulo";"Resolucao SMA 57/2016"
