"familia";"nome_cientifico";"status_conservacao";"codStatus";"fonte";"lista";"dispositivo_legal";"CITES";"taxonomicStatus";"nomenclaturalStatus";"acceptedNameUsage"
"Sapotaceae";"Pouteria decussata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Vochysiaceae";"Qualea coerulea";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Vochysiaceae";"Qualea coerulea";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Vochysiaceae";"Qualea coerulea";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Selenipedium isabelianum";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Selenipedium palmifolium";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Selenipedium palmifolium";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Selenipedium palmifolium";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Selenipedium palmifolium";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Meliaceae";"Swietenia macrophylla";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"NOME_ACEITO";"NOME_CORRETO";NA
"Bignoniaceae";"Tabebuia impetiginosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"SINONIMO";"NOME_LEGITIMO_MAS_INCORRETO";"Handroanthus impetiginosus"
"Bromeliaceae";"Aechmea eurycorymbus";"Criticamente em Perigo";"CR";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bromeliaceae";"Aechmea eurycorymbus";"Criticamente em Perigo";"CR";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Bromeliaceae";"Aechmea eurycorymbus";"Criticamente em Perigo";"CR";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Malpighiaceae";"Banisteriopsis cachimbensis";"Em Perigo";"EN";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"SINONIMO";"";"Diplopterys cachimbensis"
"Vitaceae";"Cissus apendiculata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Vitaceae";"Cissus apendiculata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Vitaceae";"Cissus apendiculata";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Orchidaceae";"Galeandra curvifolia";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Anexo II CITES";"SINONIMO";"";"Galeandra cristata"
"Araceae";"Heteropsis flexuosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Heteropsis flexuosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Heteropsis flexuosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Heteropsis flexuosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
"Araceae";"Heteropsis flexuosa";"Vulnerável";"VU";"PA";"Lista Flora Ameaçada Pará";"Resolução COEMA 54/2007";"Não";"NOME_ACEITO";"NOME_CORRETO";NA
